abnormal	不正常的	⠁⠃⠝⠕⠗⠍⠁⠇
nutritious	有營養的	⠝⠥⠞⠗⠊⠞⠊⠳⠎
obscure	暗的;模糊的;偏僻的;微賤的	⠕⠃⠎⠉⠥⠗⠑
operational	操作上的;經營上的	⠕⠏⠻⠁⠰⠝⠁⠇
optional	隨意的;非必須的	⠕⠏⠰⠝⠁⠇
orderly	整齊的;有條理的	⠕⠗⠙⠻⠇⠽
outrageous	可恥的;無法無天的;令人吃驚的	⠳⠞⠗⠁⠛⠑⠳⠎
outright	全部的;直率的;公開的	⠳⠞⠐⠗
overhead	在上頭的;高架的	⠕⠧⠻⠓⠂⠙
pathetic	可憐的;可悲的	⠏⠁⠮⠞⠊⠉
patriotic	愛國的	⠏⠁⠞⠗⠊⠕⠞⠊⠉
pedestrian	徒步的;行人的	⠏⠫⠑⠌⠗⠊⠁⠝
persistent	堅持不懈的;固執的;持續的	⠏⠻⠎⠊⠌⠢⠞
perspective	透視的；透視畫的	⠏⠻⠎⠏⠑⠉⠞⠊⠧⠑
petty	小的;瑣碎的;氣量小的	⠏⠑⠞⠞⠽
photographic	攝影(術)的;攝影用的	⠏⠓⠕⠞⠕⠛⠗⠁⠏⠓⠊⠉
picturesque	圖畫般的;美麗的	⠏⠊⠉⠞⠥⠗⠑⠎⠟⠥⠑
pious	虔誠的;篤信的	⠏⠊⠳⠎
pollutant	受污染的;造成污染的	⠏⠕⠇⠇⠥⠞⠁⠝⠞
preliminary	預備的;初步的	⠏⠗⠑⠇⠊⠍⠔⠜⠽
premature	過早的;草率的;早產的	⠏⠗⠑⠍⠁⠞⠥⠗⠑
premier	首位的;最早的	⠏⠗⠑⠍⠊⠻
presidential	總統的;總統選舉的	⠏⠗⠑⠎⠊⠙⠢⠞⠊⠁⠇
preventive	預防的;防病的	⠏⠗⠑⠧⠢⠞⠊⠧⠑
profound	深刻的;深度的	⠏⠗⠷⠨⠙
progressive	逐漸的	⠏⠗⠕⠛⠗⠑⠎⠎⠊⠧⠑
prone	有...傾向的;俯伏的	⠏⠗⠐⠕
prospective	預期的;盼望中的;未來的	⠏⠗⠕⠎⠏⠑⠉⠞⠊⠧⠑
provincial	省的;鄉氣的	⠏⠗⠕⠧⠔⠉⠊⠁⠇
punctual	準時的	⠏⠥⠝⠉⠞⠥⠁⠇
