adult	成年人	⠁⠙⠥⠇⠞
yummy	好吃的	⠽⠥⠍⠍⠽
bake	烘焙	⠃⠁⠅⠑
boil	煮沸	⠃⠕⠊⠇
burn	燒焦	⠃⠥⠗⠝
cook	烹飪	⠉⠕⠕⠅
eat	吃	⠑⠁⠞
order	點餐	⠕⠗⠙⠻
spread	塗抹	⠎⠏⠗⠂⠙
menu	菜單	⠍⠢⠥
diet	飲食	⠙⠊⠑⠞
slice	片	⠎⠇⠊⠉⠑
bowl	碗	⠃⠪⠇
chopsticks	筷子	⠡⠕⠏⠌⠊⠉⠅⠎
cup	杯子	⠉⠥⠏
dish	盤子；菜餚	⠙⠊⠩
fork	叉子	⠿⠅
glass	玻璃杯	⠛⠇⠁⠎⠎
knife	刀	⠅⠝⠊⠋⠑
napkin	餐巾	⠝⠁⠏⠅⠔
plate	盤子	⠏⠇⠁⠞⠑
saucer	茶碟	⠎⠁⠥⠉⠻
spoon	湯匙	⠎⠏⠕⠕⠝
straw	吸管	⠌⠗⠁⠺
blouse	女式襯衫	⠃⠇⠳⠎⠑
coat	外套	⠉⠕⠁⠞
dress	連衣裙	⠙⠗⠑⠎⠎
jacket	夾克	⠚⠁⠉⠅⠑⠞
jeans	牛仔褲	⠚⠂⠝⠎
pajamas	睡衣	⠏⠁⠚⠁⠍⠁⠎
pants	褲子	⠏⠁⠝⠞⠎
raincoat	雨衣	⠗⠁⠔⠉⠕⠁⠞
shirt	襯衫	⠩⠊⠗⠞
T-shirt	T恤	⠠⠞⠤⠩⠊⠗⠞
shorts	短褲	⠩⠕⠗⠞⠎
skirt	裙子	⠎⠅⠊⠗⠞
suit	西裝	⠎⠥⠊⠞
sweater	毛衣	⠎⠺⠂⠞⠻
swimsuit	泳裝	⠎⠺⠊⠍⠎⠥⠊⠞
trousers	長褲	⠞⠗⠳⠎⠻⠎
uniform	制服	⠥⠝⠊⠿⠍
underwear	內衣	⠐⠥⠺⠑⠜
vest	背心	⠧⠑⠌
bag	包	⠃⠁⠛
belt	腰帶	⠆⠇⠞
button	紐扣	⠃⠥⠞⠞⠕⠝
cap	鴨舌帽	⠉⠁⠏
comb	梳子	⠉⠕⠍⠃
contact lens	隱形眼鏡	⠒⠞⠁⠉⠞⠀⠇⠢⠎
earrings	耳環	⠑⠜⠗⠬⠎
glove	手套	⠛⠇⠕⠧⠑
handkerchief	手帕	⠓⠯⠅⠻⠡⠊⠑⠋
hat	帽子	⠓⠁⠞
mask	口罩	⠍⠁⠎⠅
necklace	項鍊	⠝⠑⠉⠅⠇⠁⠉⠑
pocket	口袋	⠏⠕⠉⠅⠑⠞
purse	錢包	⠏⠥⠗⠎⠑
ring	戒指	⠗⠬
scarf	圍巾	⠎⠉⠜⠋
shoes	鞋子	⠩⠕⠑⠎
slippers	拖鞋	⠎⠇⠊⠏⠏⠻⠎
sneakers	運動鞋	⠎⠝⠂⠅⠻⠎
socks	襪子	⠎⠕⠉⠅⠎
tie	領帶	⠞⠊⠑
umbrella	雨傘	⠥⠍⠃⠗⠑⠇⠇⠁
wallet	皮夾	⠺⠁⠇⠇⠑⠞
hole	洞	⠓⠕⠇⠑
spot	污漬	⠎⠏⠕⠞
clothes	衣服	⠉⠇⠕⠮⠎
cotton	棉	⠉⠕⠞⠞⠕⠝
diamond	鑽石	⠙⠊⠁⠍⠕⠝⠙
gold	金	⠛⠕⠇⠙
silver	銀	⠎⠊⠇⠧⠻
iron	熨燙	⠊⠗⠕⠝
wear	穿	⠺⠑⠜
black	黑色	⠃⠇⠁⠉⠅
blue	藍色	⠃⠇⠥⠑
brown	棕色	⠃⠗⠪⠝
color	顏色	⠉⠕⠇⠕⠗
golden	金色的	⠛⠕⠇⠙⠢
gray	灰色	⠛⠗⠁⠽
green	綠色	⠛⠗⠑⠢
orange	橙色	⠕⠗⠁⠝⠛⠑
pink	粉紅色	⠏⠔⠅
purple	紫色	⠏⠥⠗⠏⠇⠑
red	紅色	⠗⠫
white	白色	⠱⠊⠞⠑
yellow	黃色	⠽⠑⠇⠇⠪
badminton	羽毛球	⠃⠁⠙⠍⠔⠞⠕⠝
ball	球	⠃⠁⠇⠇
baseball	棒球	⠃⠁⠎⠑⠃⠁⠇⠇
basketball	籃球	⠃⠁⠎⠅⠑⠞⠃⠁⠇⠇
dodge ball	躲避球	⠙⠕⠙⠛⠑⠀⠃⠁⠇⠇
football	足球（美式）	⠋⠕⠕⠞⠃⠁⠇⠇
frisbee	飛盤	⠋⠗⠊⠎⠃⠑⠑
golf	高爾夫	⠛⠕⠇⠋
race	賽跑	⠗⠁⠉⠑
soccer	足球	⠎⠕⠒⠻
softball	壘球	⠎⠷⠞⠃⠁⠇⠇
sports	運動	⠎⠏⠕⠗⠞⠎
table tennis	乒乓球	⠞⠁⠃⠇⠑⠀⠞⠢⠝⠊⠎
tennis	網球	⠞⠢⠝⠊⠎
volleyball	排球	⠧⠕⠇⠇⠑⠽⠃⠁⠇⠇
barbecue	燒烤	⠃⠜⠃⠑⠉⠥⠑
bowling	保齡球	⠃⠪⠇⠬
camp	露營	⠉⠁⠍⠏⠀⠐⠣⠉⠁⠍⠏⠬⠐⠜
climb	攀登（登山）	⠉⠇⠊⠍⠃⠀⠐⠣⠍⠳⠝⠞⠁⠔⠀⠉⠇⠊⠍⠃⠬⠐⠜
cook	烹飪	⠉⠕⠕⠅⠀⠐⠣⠉⠕⠕⠅⠬⠐⠜
dance	跳舞	⠙⠨⠑⠀⠐⠣⠙⠁⠝⠉⠬⠐⠜
draw	畫畫	⠙⠗⠁⠺⠀⠐⠣⠙⠗⠁⠺⠬⠐⠜
exercise	運動	⠑⠭⠻⠉⠊⠎⠑
fish	釣魚	⠋⠊⠩⠀⠐⠣⠋⠊⠩⠬⠐⠜
hike	徒步旅行	⠓⠊⠅⠑⠀⠐⠣⠓⠊⠅⠬⠐⠜
jog	慢跑	⠚⠕⠛⠀⠐⠣⠚⠕⠶⠬⠐⠜
picnic	野餐	⠏⠊⠉⠝⠊⠉
roller blade	直排輪滑	⠗⠕⠇⠇⠻⠀⠃⠇⠁⠙⠑
roller skate	溜冰	⠗⠕⠇⠇⠻⠀⠎⠅⠁⠞⠑⠀⠐⠣⠗⠕⠇⠇⠻⠤⠎⠅⠁⠞⠬⠐⠜
run	跑步	⠗⠥⠝⠀⠐⠣⠗⠥⠝⠝⠬⠐⠜
sail	帆船	⠎⠁⠊⠇⠀⠐⠣⠎⠁⠊⠇⠬⠐⠜
sing	唱歌	⠎⠬⠀⠐⠣⠎⠬⠬⠐⠜
skate	滑冰	⠎⠅⠁⠞⠑
ski	滑雪	⠎⠅⠊⠀⠐⠣⠎⠅⠊⠬⠐⠜
stamp	集郵	⠌⠁⠍⠏
surf	衝浪	⠎⠥⠗⠋
swim	游泳	⠎⠺⠊⠍⠀⠐⠣⠎⠺⠊⠍⠍⠬⠐⠜
travel	旅行	⠞⠗⠁⠧⠑⠇
trip	旅行	⠞⠗⠊⠏
